((-3.141592653589793, 16.029411764705884),
 (-2.9670597283903604, 15.57533267415273),
 (-2.792526803190927, 14.267864042307597),
 (-2.6179938779914944, 12.264705882352938),
 (-2.443460952792061, 9.807468631845126),
 (-2.2689280275926285, 7.192531368154878),
 (-2.0943951023931957, 4.735294117647054),
 (-1.9198621771937625, 2.7321359576923987),
 (-1.7453292519943295, 1.4246673258472797),
 (-1.5707963267948966, 0.9705882352941184),
 (-1.3962634015954636, 1.4246673258472782),
 (-1.2217304763960308, 2.7321359576924023),
 (-1.0471975511965979, 4.735294117647056),
 (-0.8726646259971647, 7.192531368154879),
 (-0.6981317007977319, 9.80746863184512),
 (-0.5235987755982991, 12.264705882352937),
 (-0.34906585039886595, 14.267864042307597),
 (-0.17453292519943275, 15.575332674152728),
 (0.0, 16.029411764705895),
 (0.17453292519943275, 15.57533267415272),
 (0.34906585039886595, 14.267864042307604),
 (0.5235987755982991, 12.264705882352935),
 (0.6981317007977315, 9.807468631845124),
 (0.8726646259971647, 7.192531368154882),
 (1.0471975511965974, 4.735294117647067),
 (1.221730476396031, 2.732135957692396),
 (1.3962634015954638, 1.4246673258472768),
 (1.5707963267948966, 0.9705882352941179),
 (1.7453292519943293, 1.4246673258472762),
 (1.919862177193763, 2.732135957692405),
 (2.094395102393195, 4.735294117647042),
 (2.2689280275926285, 7.192531368154871),
 (2.443460952792061, 9.807468631845117),
 (2.617993877991495, 12.264705882352935),
 (2.7925268031909276, 14.267864042307606),
 (2.9670597283903604, 15.575332674152737),
 (3.141592653589793, 16.02941176470588))
